5,0.06600054,afak_halil
5,0.0352292,ahmetyaziyo
5,0.02986178,alayliikaan
5,0.02731514,Adele
5,0.02012806,_ruzgarli_
5,0.01069017,AhmetKr51326224
4,0.0,arshitect
4,0.0,ahmetemrebayrak
4,0.0,DS_S
3,0.00364386,AliBekir_egitim
3,0.0,arzu5436
3,0.0,_BossDrum
3,0.0,_AvsarU
2,0.12152105,Anes39
2,0.06646853,AdemBerkkose
2,0.05845653,arzumdilan1
2,0.05425038,DS_S
2,0.05044123,_BossDrum
2,0.04523408,aksoyra
2,0.04523083,akademi_detay
2,0.02602382,agahaydin
2,0.02201668,_fa1974
2,0.01811557,AksarayBayanEs2
2,0.01606377,__kalliope
2,0.01592571,__kalliope
1,0.01157847,asfcmdb
1,0.0086463,arkiteracom
1,0.00612036,AnadoluGrubu
1,0.0,_juliannemoore
0,0.04265415,_juliannemoore
0,0.02084228,_AvsarU
0,0.01359299,AhmetNKendirci
0,0.01251956,Akparti
0,0.00986415,_fa1974
